epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.897,2.92038,35.0885,0.00511,0.41144,0.20213,0.19289,0.0779,1.33299,11.7508,0.00247,0.000663781,0.000663781,0.000663781
2,259.51,3.0005,11.1938,0.00487,0.31857,0.2234,0.15542,0.04674,1.52434,1.93499,0.0032,0.00131728,0.00131728,0.00131728
3,361.713,2.98743,4.55713,0.00484,0.42807,0.08511,0.13662,0.04398,1.3931,1.73528,0.00277,0.00195757,0.00195757,0.00195757
4,466.682,2.88462,3.26778,0.0048,0.09803,0.46809,0.20294,0.04995,1.52487,1.66769,0.00298,0.0019406,0.0019406,0.0019406
5,571.667,2.96291,2.92783,0.00496,0.38202,0.2766,0.26736,0.08492,1.45746,1.44365,0.00318,0.0019208,0.0019208,0.0019208
6,675.148,2.88951,2.71649,0.00457,0.44646,0.24468,0.27715,0.10381,1.278,1.40981,0.00232,0.001901,0.001901,0.001901
7,780.182,2.82814,2.53176,0.00458,0.481,0.39362,0.40182,0.13826,1.20936,1.33943,0.00234,0.0018812,0.0018812,0.0018812
8,884.963,2.7221,2.4495,0.00423,0.47246,0.43828,0.41978,0.17085,1.29535,1.40294,0.00234,0.0018614,0.0018614,0.0018614
9,989.006,2.70512,2.33023,0.00416,0.36728,0.28723,0.26925,0.08703,1.46429,1.65008,0.00269,0.0018416,0.0018416,0.0018416
10,1093.79,2.69485,2.29947,0.0041,0.31619,0.25532,0.22183,0.08313,1.33124,1.36224,0.00238,0.0018218,0.0018218,0.0018218
11,1199.06,2.71227,2.3536,0.00433,0.51022,0.32979,0.36029,0.12432,1.45778,1.31506,0.00277,0.001802,0.001802,0.001802
12,1304,2.64202,2.22384,0.00406,0.53247,0.3617,0.41059,0.14309,1.43058,1.23494,0.00283,0.0017822,0.0017822,0.0017822
13,1409.34,2.65086,2.18243,0.0041,0.39663,0.31915,0.27381,0.11002,1.26342,1.42772,0.00234,0.0017624,0.0017624,0.0017624
14,1514.12,2.53411,2.08275,0.00388,0.54531,0.40426,0.42157,0.15877,1.39035,1.33041,0.00268,0.0017426,0.0017426,0.0017426
15,1618.4,2.63038,2.09878,0.00404,0.55026,0.39362,0.46904,0.19725,1.27094,1.50023,0.00236,0.0017228,0.0017228,0.0017228
16,1724.29,2.58663,2.04063,0.00382,0.54246,0.45745,0.48294,0.19021,1.33044,1.48165,0.00248,0.001703,0.001703,0.001703
17,1829.81,2.508,2.05867,0.0037,0.53869,0.45745,0.465,0.19247,1.28476,1.51493,0.00228,0.0016832,0.0016832,0.0016832
18,1933.57,2.52489,1.91597,0.00379,0.61945,0.45028,0.5033,0.21382,1.35063,1.11772,0.00245,0.0016634,0.0016634,0.0016634
19,2038.94,2.53807,1.91795,0.00377,0.62615,0.52128,0.52965,0.20248,1.38767,1.19399,0.00258,0.0016436,0.0016436,0.0016436
20,2144.17,2.4233,1.92446,0.00359,0.61281,0.42097,0.4935,0.19925,1.34971,1.1193,0.00264,0.0016238,0.0016238,0.0016238
21,2248.63,2.42973,1.82881,0.00367,0.57559,0.38298,0.43318,0.16984,1.25103,1.47191,0.0024,0.001604,0.001604,0.001604
22,2353.71,2.40092,1.86483,0.00362,0.62791,0.51064,0.52867,0.22744,1.23386,1.3643,0.00226,0.0015842,0.0015842,0.0015842
23,2459.15,2.52556,1.84359,0.00377,0.64885,0.53191,0.56884,0.19959,1.31089,1.07532,0.00248,0.0015644,0.0015644,0.0015644
24,2563.75,2.46398,1.80039,0.00372,0.65162,0.42553,0.48747,0.18763,1.36739,1.13754,0.00275,0.0015446,0.0015446,0.0015446
25,2669.38,2.4775,1.75957,0.00367,0.62894,0.48936,0.54733,0.21973,1.18892,1.02879,0.00205,0.0015248,0.0015248,0.0015248
26,2774.99,2.40046,1.72764,0.00358,0.72854,0.54246,0.59326,0.21538,1.19185,1.06868,0.00207,0.001505,0.001505,0.001505
27,2879.57,2.39501,1.77136,0.0035,0.63048,0.51064,0.55647,0.22972,1.22162,1.11261,0.00222,0.0014852,0.0014852,0.0014852
28,2984.6,2.35451,1.75156,0.00346,0.57274,0.48489,0.50073,0.15536,1.25171,1.1339,0.00214,0.0014654,0.0014654,0.0014654
